,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ATR(df,14)","Exit_ATR(df,14)","Entry_SMA(C,800)","Exit_SMA(C,800)","Entry_ADX(df,14)","Exit_ADX(df,14)",Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L)
10,-63,2410,2462,41416.22,40826.66857142857,40826.66857142857,,31960.438020000136,5181.30198,0.01224903045232041,2022-04-11 10:00:00,2022-04-13 14:00:00,2 days 04:00:00,,409.47928571428565,363.46071428571406,43035.843375000004,43014.810075,40.83725249914364,11.198383361071857,43970.62,43410.3,41392.8,39200.0
11,-79,2573,2585,38819.07,40101.89714285714,40101.89714285714,,-107578.10068999969,6234.756404285714,-0.035079359448848095,2022-04-18 05:00:00,2022-04-18 17:00:00,0 days 12:00:00,,341.12285714285673,418.4249999999993,43218.4238,43211.915025,37.61450643272297,48.855679620356476,41500.0,41300.0,38673.18,38536.51
12,-73,2737,2752,38855.47,39644.09428571428,39644.09428571428,,-63300.0410499995,5730.468192857143,-0.02231664808069479,2022-04-25 01:00:00,2022-04-25 16:00:00,0 days 15:00:00,,356.7142857142852,438.4492857142858,43063.1479,42998.1957125,31.877600704982854,45.27244467840955,42976.0,42976.0,38674.0,38200.0
13,-109,2880,2895,37630.8,38546.55714285715,38546.55714285715,,-108120.86050000039,8303.331928571428,-0.026359644227600867,2022-05-01 00:00:00,2022-05-01 15:00:00,0 days 15:00:00,,244.12000000000003,214.43571428571522,42157.29318750001,41977.913362499996,45.697843968022305,32.758510062963396,40372.63,40372.63,37578.2,37386.38
14,-70,2992,3047,36909.67,35735.64714285715,35735.64714285715,,77096.42779999916,5085.172200000001,0.02983981000101025,2022-05-05 16:00:00,2022-05-07 23:00:00,2 days 07:00:00,,370.6807142857152,249.6685714285725,41008.1774875,40306.89725,60.023414298302974,20.510926463076228,40023.77,40023.77,36514.29,34785.0
15,-74,3051,3173,34575.76,31060.365714285716,31060.365714285716,,255282.10384000005,4857.073302857143,0.09977389246107683,2022-05-08 03:00:00,2022-05-13 05:00:00,5 days 02:00:00,,351.02500000000043,680.3528571428573,40252.49565,38300.972512500004,33.10429205481757,30.204198054766007,40023.77,34243.15,34315.78,26700.0
16,-70,3312,3327,28715.33,30158.36,30158.36,,-105133.25829999991,4121.158300000001,-0.052303201460683166,2022-05-19 00:00:00,2022-05-19 15:00:00,0 days 15:00:00,,375.98357142857174,357.9042857142852,36391.435625,36182.5236875,61.93944142896317,29.261280002669675,31460.0,31460.0,28654.47,28654.47
17,91,3748,3768,31250.99,30574.122857142855,30574.122857142855,,-67220.99527000038,5626.0852700000005,-0.023637403349919178,2022-06-06 04:00:00,2022-06-07 00:00:00,0 days 20:00:00,,276.76214285714326,324.487857142857,31037.355,30860.039725000002,50.12271764495954,41.3114354424723,31276.87,31765.64,29282.36,29282.36
18,-90,3857,3978,29045.47,22316.02,22316.02,,601027.9659000001,4622.534100000001,0.22991841791508283,2022-06-10 17:00:00,2022-06-15 18:00:00,5 days 01:00:00,,272.4707142857143,760.6692857142856,30123.5600625,29219.432862499998,30.836584813613253,26.95408084376159,31765.64,28794.46,28850.0,20111.62
19,-83,4041,4054,19008.89,19224.59142857143,19224.59142857143,,-21076.5975300003,3173.3789585714285,-0.013358744776786117,2022-06-18 09:00:00,2022-06-18 22:00:00,0 days 13:00:00,,335.4214285714287,428.21000000000015,28514.0760375,28333.15935,34.50818430760666,56.713216772608014,23362.88,22995.73,18742.5,17622.0
