,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(60),Exit_calculate…(60)
10,4,9667,9689,23282.92,22871.28,,,-1831.1767999999977,184.61679999999998,-0.019662233087602406,2023-02-07 18:00:00,2023-02-08 16:00:00,0 days 22:00:00,,22982.827619470543,23100.459222523667,22976.824483673772,23003.319372603844,21543.998434842062,21631.163409126064,154.3700000000008,98.93285714285801,22628.13,22628.13
11,3,10188,10205,23777.62,23494.29,,,-991.8057299999944,141.81572999999997,-0.013903910904455443,2023-03-01 11:00:00,2023-03-02 04:00:00,0 days 17:00:00,,23606.546522180804,23558.828124399697,23563.79255189977,23566.346032560825,22950.570945043044,22977.13552998208,178.34071428571457,163.9142857142859,23020.03,23020.03
12,4,10479,10480,22479.64,23484.64,,,3836.14288,183.85712,0.04266241452265239,2023-03-13 14:00:00,2023-03-13 15:00:00,0 days 01:00:00,,22229.614475360955,22448.627665940836,21769.45398590101,21784.153427855155,22310.612703013896,22314.785255565672,334.08999999999986,391.9771428571426,19765.03,19765.03
13,3,11541,11650,28413.38,28524.99,,,164.01489000000174,170.81511,0.0019241508753975248,2023-04-26 21:00:00,2023-05-01 10:00:00,4 days 13:00:00,,28967.863606934083,28770.423424799174,28465.955023808172,28834.015777577883,28083.61675122773,28346.24662797591,541.6099999999996,219.25928571428554,26942.82,28250.15
14,3,11713,11773,29043.93,29096.85,,,-15.662340000005258,174.42234000000002,-0.0001797545993259676,2023-05-04 01:00:00,2023-05-06 13:00:00,2 days 12:00:00,,28741.91230722933,29269.77657261856,28690.1800754332,28856.48709055032,28353.87987849135,28469.64549773769,304.7185714285715,154.6221428571428,27666.95,28663.64
15,3,12812,12816,26650.01,26339.98,,,-1089.0599699999966,158.96997,-0.013621758115662961,2023-06-18 20:00:00,2023-06-19 00:00:00,0 days 04:00:00,,26556.406568657447,26482.380242027964,26180.29692627875,26185.57152619011,26631.24562884352,26628.754168348238,103.30214285714308,113.33714285714294,25175.56,25175.56
16,3,12834,12841,26665.06,26982.29,,,790.7479499999987,160.94205,0.009884944942932898,2023-06-19 18:00:00,2023-06-20 01:00:00,0 days 07:00:00,,26486.131377377314,26696.28369701359,26216.71781822227,26243.75999485831,26621.33856901551,26624.59533411736,140.95928571428522,208.16357142857123,26255.85,26255.85
17,3,13264,13285,30390.83,30171.85,,,-838.6280400000096,181.68804,-0.009198257500700203,2023-07-07 16:00:00,2023-07-08 13:00:00,0 days 21:00:00,,30254.93168768737,30232.142172063897,30239.221932698078,30240.528748471945,29078.160511082046,29138.08118976709,159.7035714285708,70.47214285714315,29701.02,29701.02
18,3,13298,13320,30332.25,30160.71,,,-696.0988800000026,181.47888,-0.007649711445738526,2023-07-09 02:00:00,2023-07-10 00:00:00,0 days 22:00:00,,30251.044781227563,30216.287896187307,30240.13408748211,30241.81372595783,29173.164810405695,29230.97795944967,80.22785714285679,108.1964285714291,29701.02,29950.0
19,3,13339,13408,30528.99,30917.48,,,981.1305899999938,184.33941000000002,0.010712556491387297,2023-07-10 19:00:00,2023-07-13 16:00:00,2 days 21:00:00,,30336.636238227893,30582.98066629931,30241.581140375136,30347.04510548608,29277.629655398956,29475.627939308193,142.81785714285746,160.21142857142826,29950.0,30210.0
20,3,13878,13889,29650.0,29025.91,,,-2048.2977300000002,176.02773000000002,-0.023027518043844834,2023-08-02 06:00:00,2023-08-02 17:00:00,0 days 11:00:00,,29488.202160861645,29362.085922399063,29470.01405041903,29463.963847594907,29565.128861755413,29560.280100262677,165.93071428571446,156.27571428571432,28585.7,28585.7
21,3,14031,14033,29439.12,29748.0,,,749.078640000003,177.56136,0.008481669289027787,2023-08-08 15:00:00,2023-08-08 17:00:00,0 days 02:00:00,,29330.539211346797,29435.95158368739,29268.588462808515,29275.34060643419,29435.644421188703,29437.353512932947,113.60785714285703,141.2842857142857,28701.03,28701.03
22,3,14089,14200,29481.65,29332.67,,,-623.3829600000097,176.44296000000003,-0.007048259510576979,2023-08-11 01:00:00,2023-08-15 16:00:00,4 days 15:00:00,,29480.273541301613,29380.936999313693,29382.865719003214,29395.91030312958,29462.4587770235,29449.43559904422,97.72428571428567,64.20428571428472,29320.2,29102.45
23,3,14924,15012,26678.13,27196.98,,,1394.9246699999956,161.62533000000002,0.017429066055229547,2023-09-14 20:00:00,2023-09-18 12:00:00,3 days 16:00:00,,26520.386876977183,26837.32447473456,26030.18355107203,26271.664555310446,26661.68038179098,26642.987733588838,166.0142857142855,151.7542857142858,25736.12,26377.35
