,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(100),Exit_calculate…(100),Entry_calculate…(400),Exit_calculate…(400),Entry_calculate…(14),Exit_calculate…(14),Entry_λ,Exit_λ,Entry_calculate…(20),Exit_calculate…(20)
10,2,1134,1138,43615.72,43468.21,,,-469.1878600000041,174.16786000000002,-0.005378655448081636,2022-02-17 05:00:00,2022-02-17 09:00:00,0 days 04:00:00,,43453.33656731031,43464.98890949035,42074.76765328447,42105.15254825562,318.422857142857,337.0507142857142,-44.15174363967187,-62.31944013360707,1205.571305,1251.8641645
11,-1,1227,1236,39135.57,38294.5,,,763.6399299999997,77.43007,0.01951268194126216,2022-02-21 02:00:00,2022-02-21 11:00:00,0 days 09:00:00,,40190.97005245364,39969.40944776613,41307.65990377351,41200.02753620487,346.77071428571486,492.2114285714285,151.41007771767903,-63.29434710115425,1437.527734,1437.4601945
12,2,1455,1456,43525.29,44819.39,,,2411.5106399999972,176.68936,0.027702407496882808,2022-03-02 14:00:00,2022-03-02 15:00:00,0 days 01:00:00,,41660.55158005718,41709.382637877825,40329.35412977561,40348.29261291887,524.0400000000014,597.5807142857157,-68.21562938994873,-67.90300080067459,2112.0733795,2558.6838145
13,2,1461,1481,43704.41,42547.34,,,-2486.643500000014,172.5035,-0.028448427744477253,2022-03-02 20:00:00,2022-03-03 16:00:00,0 days 20:00:00,,41909.91494075723,42420.86130050519,40433.99221962706,40724.463292304616,609.8750000000006,491.1214285714289,-106.91896821283092,-97.8999846527361,2559.2099625,2101.2013930000003
14,-1,1530,1547,39334.07,38678.3,,,577.7576299999968,78.01237,0.014688478207314839,2022-03-05 17:00:00,2022-03-06 10:00:00,0 days 17:00:00,,40968.74247440221,40485.600513874626,40640.291962584444,40531.718239526286,281.7599999999994,324.1457142857128,150.52096848956512,-72.00552828762318,1579.7897604999998,1305.9423474999999
15,-1,1576,1580,38847.17,37979.79,,,790.5530399999974,76.82696,0.020350338004029536,2022-03-07 15:00:00,2022-03-07 19:00:00,0 days 04:00:00,,39611.64042933091,39500.54600756377,40259.291020019635,40218.047940822,438.1171428571423,516.6035714285717,142.7364134093442,-36.35331261152453,2239.171115,2639.6714065
16,-1,1604,1613,38682.81,41217.73,,,-2614.8205400000056,79.90054,-0.06759644762104931,2022-03-08 19:00:00,2022-03-09 04:00:00,0 days 09:00:00,,39147.50342607076,39199.85255496488,40029.08076525673,40002.572477291906,563.6735714285714,588.8364285714285,0.9845743380032701,283.3724843466493,2574.311356,2857.832021
17,2,1635,1638,40930.7,39540.63,,,-2941.0826599999996,160.94266,-0.03592758809402238,2022-03-10 02:00:00,2022-03-10 05:00:00,0 days 03:00:00,,40151.77605347114,40132.98913203713,40199.020177863116,40193.62978722866,458.7364285714279,543.2999999999982,-261.986389316884,-413.053921548053,2610.24253,2928.131083
18,-1,1755,1766,38826.87,38857.06,,,-107.87392999999506,77.68393,-0.0027783318614144604,2022-03-15 02:00:00,2022-03-15 13:00:00,0 days 11:00:00,,39020.77119150018,38950.817630116995,39642.03197979809,39589.846832806135,428.26285714285666,357.79285714285754,21.242691776842435,-18.132886926266455,2012.8263849999998,1756.4539005000001
19,2,1827,1842,40541.73,41409.65,,,1571.9372399999966,163.90276,0.019386657155479124,2022-03-18 02:00:00,2022-03-18 17:00:00,0 days 15:00:00,,40074.50835546935,40244.40445358518,39809.37214887831,39874.93632644441,279.755,307.4814285714284,-69.5550243389483,109.06386228024007,1566.4551535,1816.1990565
