,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14)
10,5,9667,9668,23282.92,22931.98,,,-1985.7744999999934,231.0745,-0.0170577788353007,2023-02-07 18:00:00,2023-02-07 19:00:00,0 days 01:00:00,,22982.827619470543,22996.461667036725,22976.824483673772,22977.58910504471,21543.998434842062,21547.86335760151,154.3700000000008,163.77071428571486
11,5,10188,10205,23777.62,23494.29,,,-1653.0095499999907,236.35955,-0.013903910904455443,2023-03-01 11:00:00,2023-03-02 04:00:00,0 days 17:00:00,,23606.546522180804,23558.828124399697,23563.79255189977,23566.346032560825,22950.570945043044,22977.13552998208,178.34071428571457,163.9142857142859
12,5,10479,10510,22479.64,24570.06,,,10216.85150000001,235.2485,0.09089871101138641,2023-03-13 14:00:00,2023-03-14 21:00:00,1 days 07:00:00,,22229.614475360955,24953.59428987402,21769.45398590101,22307.690791794976,22310.612703013896,22484.001204710166,334.08999999999986,555.3207142857144
13,4,11541,11632,28413.38,29655.18,,,4734.925759999997,232.27424000000002,0.04166105686827831,2023-04-26 21:00:00,2023-04-30 16:00:00,3 days 19:00:00,,28967.863606934083,29359.086238999276,28465.955023808172,28823.175508514927,28083.61675122773,28319.503628334878,541.6099999999996,127.49357142857116
14,4,11713,11785,29043.93,28942.73,,,-636.7466400000029,231.94664,-0.00548089256515903,2023-05-04 01:00:00,2023-05-07 01:00:00,3 days 00:00:00,,28741.91230722933,28919.141916655964,28690.1800754332,28851.846253357642,28353.87987849135,28479.256840897364,304.7185714285715,203.622857142858
15,4,12812,12814,26650.01,26415.34,,,-1150.9413999999929,212.26139999999998,-0.010796819588435378,2023-06-18 20:00:00,2023-06-18 22:00:00,0 days 02:00:00,,26556.406568657447,26521.70909162836,26180.29692627875,26183.323134912924,26631.24562884352,26630.136135291763,103.30214285714308,98.6192857142856
16,4,12834,12835,26665.06,26495.99,,,-888.9241999999988,212.6442,-0.008334166508532121,2023-06-19 18:00:00,2023-06-19 19:00:00,0 days 01:00:00,,26486.131377377314,26510.64995520515,26216.71781822227,26219.811254646043,26621.33856901551,26621.490732388753,140.95928571428522,161.7249999999993
17,4,12836,12849,26682.29,26754.24,,,74.05388000000289,213.74612000000002,0.0006938486164418441,2023-06-19 20:00:00,2023-06-20 09:00:00,0 days 13:00:00,,26537.317460804505,26782.297623944738,26223.161279532116,26274.901010077432,26621.746660647455,26628.93790751749,169.2685714285708,136.2064285714288
18,4,13264,13285,30390.83,30171.85,,,-1118.1707200000128,242.25072,-0.009198257500700203,2023-07-07 16:00:00,2023-07-08 13:00:00,0 days 21:00:00,,30254.93168768737,30232.142172063897,30239.221932698078,30240.528748471945,29078.160511082046,29138.08118976709,159.7035714285708,70.47214285714315
19,4,13298,13320,30332.25,30160.71,,,-928.1318400000034,241.97184,-0.007649711445738526,2023-07-09 02:00:00,2023-07-10 00:00:00,0 days 22:00:00,,30251.044781227563,30216.287896187307,30240.13408748211,30241.81372595783,29173.164810405695,29230.97795944967,80.22785714285679,108.1964285714291
