,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(10),Exit_calculate…(10),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(50),Exit_calculate…(50)
10,6,8901,8953,16940.41,17127.83,,,920.1105600000113,204.40944000000002,0.00905242317039565,2023-01-06 20:00:00,2023-01-09 00:00:00,2 days 04:00:00,,16843.69359286899,17018.665554602954,16748.631692586743,16807.671336020252,16897.64523676802,16903.919023342918,66.57357142857134,54.601428571429224,16679.0,16908.0
11,4,9667,9694,23282.92,22829.87,,,-1996.6511599999972,184.45116,-0.021439011515737703,2023-02-07 18:00:00,2023-02-08 21:00:00,1 days 03:00:00,,23000.482776873047,22968.238045151877,22976.824483673772,23000.300246876872,21543.998434842062,21647.066275177036,154.3700000000008,131.00000000000026,22628.13,22638.0
12,4,10186,10204,23869.01,23494.47,,,-1687.6139199999889,189.45392,-0.017675784626174116,2023-03-01 09:00:00,2023-03-02 03:00:00,0 days 18:00:00,,23626.58814174412,23548.506992551014,23561.181327889743,23566.546808698356,22946.521828459798,22975.73579413723,194.89714285714294,181.10071428571453,23020.03,23020.03
13,4,10479,10480,22479.64,23484.64,,,3836.14288,183.85712,0.04266241452265239,2023-03-13 14:00:00,2023-03-13 15:00:00,0 days 01:00:00,,22415.367626158226,22700.158966856732,21769.45398590101,21784.153427855155,22310.612703013896,22314.785255565672,334.08999999999986,391.9771428571426,19992.24,19992.24
14,3,11712,11808,29026.16,28430.09,,,-1960.5787499999992,172.36875,-0.02251507777811461,2023-05-04 00:00:00,2023-05-08 00:00:00,4 days 00:00:00,,28770.51630711429,28741.947416560277,28687.63499232573,28850.395792806125,28352.08566041498,28499.583194619856,305.89714285714297,172.8778571428572,27872.0,28300.0
15,3,12812,12816,26650.01,26339.98,,,-1089.0599699999966,158.96997,-0.013621758115662961,2023-06-18 20:00:00,2023-06-19 00:00:00,0 days 04:00:00,,26565.65905906709,26460.9449481961,26180.29692627875,26185.57152619011,26631.24562884352,26628.754168348238,103.30214285714308,113.33714285714294,26181.0,26181.0
16,3,12834,12841,26665.06,26982.29,,,790.7479499999987,160.94205,0.009884944942932898,2023-06-19 18:00:00,2023-06-20 01:00:00,0 days 07:00:00,,26497.692360733694,26758.51711589363,26216.71781822227,26243.75999485831,26621.33856901551,26624.59533411736,140.95928571428522,208.16357142857123,26255.85,26255.85
17,3,13264,13284,30390.83,30201.72,,,-749.1076500000017,181.77765000000002,-0.008216378098261895,2023-07-07 16:00:00,2023-07-08 12:00:00,0 days 20:00:00,,30274.43765919031,30225.815308661524,30239.221932698078,30240.73750264233,29078.160511082046,29135.39974093046,159.7035714285708,69.99500000000054,29701.02,29701.02
18,3,13298,13319,30332.25,30174.0,,,-656.26875,181.51875,-0.007212002076997303,2023-07-09 02:00:00,2023-07-09 23:00:00,0 days 21:00:00,,30262.490389999162,30219.036431666915,30240.13408748211,30242.827396365574,29173.164810405695,29228.827040699856,80.22785714285679,91.09285714285787,29930.53,30044.47
19,3,13337,13340,30351.18,30837.4,,,1275.0942600000035,183.56574,0.014003785684774008,2023-07-10 17:00:00,2023-07-10 20:00:00,0 days 03:00:00,,30246.74672840914,30465.741536446472,30235.646537501012,30245.15209625304,29270.5832348847,29281.378420304325,105.54357142857172,157.86428571428587,29950.0,29950.0
