,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(20),Exit_calculate…(20),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(4800),Exit_calculate…(4800)
10,-1,3779,3789,29561.53,31059.71,,,-1558.8012400000002,60.62124,-0.05273073619667192,2022-06-07 10:00:00,2022-06-07 20:00:00,0 days 10:00:00,,30140.907381713296,30206.253157044346,30215.094974592626,30207.401404669265,312.37785714285695,320.0521428571428,39237.83693298925,39199.78443527613
11,-1,3838,4068,30185.92,19907.41,,,10228.416669999999,50.093329999999995,0.33884727283448696,2022-06-09 21:00:00,2022-06-19 11:00:00,9 days 14:00:00,,30249.942307537007,18913.46423375514,30261.54991047578,23936.331516817492,234.45857142857207,555.7314285714286,39022.3395778315,37611.28785563133
12,-2,4595,4673,20549.18,20390.0,,,236.4816400000006,81.87836,0.0057540407938419524,2022-07-11 10:00:00,2022-07-14 16:00:00,3 days 06:00:00,,20711.57108347563,19953.351915280487,20738.93073938416,20386.954964033834,175.51357142857083,239.9185714285712,34233.59778984483,33774.65400594314
13,-2,4940,4988,21824.28,22554.45,,,-1549.0974600000038,88.75746000000001,-0.03549023060554591,2022-07-25 19:00:00,2022-07-27 19:00:00,2 days 00:00:00,,22026.260943278212,21580.73439187595,22049.530892889543,21839.10429020341,187.39571428571384,266.67357142857094,32552.177654760406,32328.76440946123
14,-2,5180,5198,22541.68,23018.93,,,-1045.62122,91.12122,-0.023193063249944024,2022-08-04 19:00:00,2022-08-05 13:00:00,0 days 18:00:00,,22851.695249590335,23041.94414224907,22897.147158430194,22908.15806808749,231.5350000000001,210.57285714285692,31641.889786309097,31577.224549303588
15,-2,5310,5318,22941.32,23983.92,,,-2179.050479999997,93.85048,-0.047491828717789515,2022-08-10 05:00:00,2022-08-10 13:00:00,0 days 08:00:00,,23111.216447111514,23252.389322423813,23133.354570621195,23141.495519592005,152.09000000000015,236.2149999999999,31200.56177546138,31174.22087915329
16,-2,5488,5506,23350.3,23462.52,,,-318.0656400000023,93.62564,-0.006810739904840572,2022-08-17 15:00:00,2022-08-18 09:00:00,0 days 18:00:00,,23773.349805001108,23479.93899761083,23838.267720893662,23790.006929825813,203.4307142857142,126.27428571428494,30697.464234725645,30643.01947468682
17,-2,6149,6288,20323.04,19601.35,,,1363.5312200000046,79.84878,0.033546438426534764,2022-09-14 04:00:00,2022-09-19 23:00:00,5 days 19:00:00,,20755.87239337251,19243.867575921733,20798.71870921764,20128.56602357052,245.94500000000022,272.45071428571384,28296.89474620491,27816.741158979446
18,-2,6482,6500,19095.87,19555.58,,,-996.7229000000056,77.3029,-0.026097865664146482,2022-09-28 01:00:00,2022-09-28 19:00:00,0 days 18:00:00,,19372.088779121645,19230.542762017827,19436.81137314158,19393.76942448514,269.8921428571427,248.82571428571464,27142.571324136436,27082.07582076652
19,-2,6518,6536,19211.63,19445.14,,,-544.3335399999968,77.31354,-0.014166771377545672,2022-09-29 13:00:00,2022-09-30 07:00:00,0 days 18:00:00,,19351.09637488395,19432.337514268926,19397.109454212616,19400.100299764144,194.31428571428583,156.89499999999992,27024.87273851923,26968.061182822887
